City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Reconquista,AR,79.97,Clear,-29.15,-59.65,Hotel San Martin
337,Vila Velha,BR,73.35,Mist,-20.3297,-40.2925,Hotel Prainha
341,Sao Felix Do Xingu,BR,70.66,Rain,-6.6447,-51.995,Hotel Terraço
342,Dhoraji,IN,76.68,Clear,21.7333,70.45,No hotel found
344,Urucara,BR,73.96,Clouds,-2.5364,-57.76,No hotel found
352,Porto Novo,BJ,77.4,Rain,6.4965,2.6036,Hôtel 6500 CFA
353,Alice Springs,AU,81.95,Clouds,-23.7,133.8833,Aurora Alice Springs
354,Saraza,PH,86.52,Clouds,8.7356,117.78,No hotel found
355,Tutoia,BR,79.39,Clouds,-2.7619,-42.2744,Pousada San Vicente
359,Tezu,IN,76.3,Clear,27.9167,96.1667,No hotel found
361,Bhatkal,IN,82.2,Clouds,13.9667,74.5667,Sree Mahasati Store And Tea Hotel
365,Thai Binh,VN,85.06,Clouds,20.45,106.3333,An Thai Hotel
366,La Romana,DO,72.45,Clear,18.4273,-68.9728,Hotel Frano
367,Tautira,PF,78.4,Clouds,-17.7333,-149.15,No hotel found
369,Puerto Suarez,BO,76.26,Clear,-18.95,-57.8,No hotel found
370,Amapa,BR,71.69,Clouds,1.0,-52.0,No hotel found
375,Upington,ZA,70.9,Clear,-28.4478,21.2561,Die Eiland Holiday Ressort
377,Lazaro Cardenas,MX,75.67,Clouds,17.9583,-102.2,Hotel Sol del Pacífico
379,Srandakan,ID,77.79,Rain,-7.9386,110.2506,No hotel found
384,Villa Carlos Paz,AR,79.39,Clear,-31.4241,-64.4978,Hoterl Victor
387,Ocos,GT,78.98,Rain,14.5094,-92.1933,No hotel found
388,Lodwar,KE,79.25,Clouds,3.1191,35.5973,Lodwar Modern Lodge
390,Sibolga,ID,85.23,Clouds,1.7427,98.7792,Hotel Prima Indah
403,Luwuk,ID,85.77,Clouds,-0.9516,122.7875,No hotel found
414,Maragogi,BR,76.26,Clouds,-9.0122,-35.2225,Pousada Mariluz
416,The Valley,AI,79.83,Clouds,18.217,-63.0578,CeBlue
419,San Pedro,PH,89.35,Clouds,14.35,121.0167,Hotel Takara
422,Lagunas,PE,71.83,Clouds,-5.2269,-75.6753,Hospedaje Eco
425,Touros,BR,77.63,Clouds,-5.1989,-35.4608,Pousada Atlântico
426,Payo,ID,85.03,Clouds,-3.7508,103.6372,No hotel found
429,Eyl,SO,77.72,Clouds,7.9803,49.8164,فندق ايل دابي
430,Bambous Virieux,MU,79.21,Clouds,-20.3428,57.7575,No hotel found
432,Omboue,GA,76.39,Rain,-1.5746,9.2618,Georges Faustin Aurat
433,Kendari,ID,86.54,Clouds,-3.945,122.4989,Hotel Agung
444,Maceio,BR,74.64,Clear,-9.6658,-35.7353,Maceió Hostel e Pousada
445,Matadi,CD,74.41,Clouds,-5.8167,13.45,Hôtel Métroplole
446,Tougan,BF,70.48,Clouds,13.0667,-3.0667,Hotel ZEELA
450,Luanda,AO,75.2,Clouds,-8.8368,13.2343,Hotel Forum
452,Gamba,GA,73.72,Rain,-2.65,10.0,No hotel found
453,Princeton,US,77.02,Clear,25.5384,-80.4089,No hotel found
457,Savannakhet,LA,86.04,Clouds,16.566,104.751,Lotus Hotel
458,Hambantota,LK,80.62,Clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
459,Bairiki,KI,86.0,Clouds,1.3292,172.9752,Marry's Motel
462,Alibag,IN,86.07,Clouds,18.6411,72.8792,Hira Laxmi Residency
467,Takoradi,GH,77.45,Clouds,4.8845,-1.7554,Hillcrest
472,Buala,SB,82.04,Rain,-8.145,159.5921,No hotel found
475,Ambulu,ID,81.25,Clouds,-8.345,113.6058,Hotel Ambulu
478,Hobyo,SO,81.23,Clouds,5.3505,48.5268,No hotel found
481,Lagawe,PH,85.39,Clear,16.8,121.1192,No hotel found
482,Obidos,BR,73.96,Clouds,-1.9175,-55.5181,Hotel Brás Belo
483,Galle,LK,81.7,Clouds,6.0367,80.217,Jungle Hostel Villa
485,Vila Do Maio,CV,74.19,Clouds,15.1333,-23.2167,Residencial Jardins De Maio
486,Dhidhdhoo,MV,81.27,Clouds,6.8833,73.1,No hotel found
492,Bandar-E Lengeh,IR,71.71,Clear,26.5579,54.8807,Old owner do not like foreigners hotel
498,Kramat,ID,82.02,Clouds,-8.1311,113.4499,No hotel found
501,Pringsewu,ID,87.46,Clouds,-5.3582,104.9744,No hotel found
502,Andros Town,BS,76.96,Clouds,24.7,-77.7667,No hotel found
506,Thinadhoo,MV,80.56,Clouds,0.5333,72.9333,No hotel found
509,Tartagal,AR,72.61,Clouds,-22.5164,-63.8013,Majoy
514,Pingxiang,CN,78.3,Clouds,27.6167,113.85,蓝天宾馆
515,Veraval,IN,77.5,Clear,20.9,70.3667,Shyam
517,Ewa Beach,US,77.99,Clear,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
518,Angoche,MZ,76.64,Clouds,-16.2325,39.9086,Hotel Quirimbas
519,Kieta,PG,82.47,Rain,-6.2167,155.6333,No hotel found
521,Tadine,NC,81.72,Clouds,-21.55,167.8833,No hotel found
522,Gibara,CU,74.52,Clear,21.1097,-76.1317,Plaza Colón
526,Townsville,AU,83.28,Clouds,-19.25,146.8,Aquarius on the Beach
527,Beloha,MG,76.41,Clouds,-25.1667,45.05,No hotel found
528,Cobija,BO,75.07,Clouds,-11.0267,-68.7692,HOTEL EL CRISTO
531,Svay Rieng,KH,86.18,Clouds,11.0879,105.7993,sopheakmonkol hotel
532,Vao,NC,76.68,Clouds,-22.6667,167.4833,Nataiwatch
535,Kailua,US,78.03,Clouds,21.4022,-157.7394,No hotel found
536,Wagar,SD,73.8,Clear,16.1525,36.2032,No hotel found
538,Moroni,KM,77.86,Clear,-11.7022,43.2551,Ville de Moroni
540,Madang,PG,83.21,Clouds,-5.2246,145.7966,Madang Star International
541,Batticaloa,LK,80.92,Clouds,7.7102,81.6924,Lake View Hotel
545,Auka,HN,74.03,Clouds,14.9333,-83.8333,No hotel found
549,Tura,IN,73.65,Clear,25.5198,90.2201,No hotel found
551,Wattegama,LK,81.63,Clouds,6.7989,81.4808,No hotel found
552,Saint-Pierre,RE,80.91,Clear,-21.3393,55.4781,Tropic Hotel
555,Sinnamary,GF,78.26,Clouds,5.3833,-52.95,Hôtel du fleuve
556,Ambon,ID,89.74,Clouds,-3.6954,128.1814,Hotel Hero
558,Gizo,SB,83.41,Rain,-8.103,156.8419,Gizo Hotel
563,Penapolis,BR,70.45,Clouds,-21.4197,-50.0775,No hotel found
564,Nabire,ID,80.82,Clouds,-3.3667,135.4833,Hotel Anggrek
567,Yarada,IN,79.12,Haze,17.65,83.2667,No hotel found
574,Port Macquarie,AU,73.22,Rain,-31.4333,152.9167,The Observatory
586,Flinders,AU,72.37,Clouds,-34.5833,150.8552,No hotel found
588,Kralendijk,BQ,80.58,Clouds,12.15,-68.2667,Hotel Bonaire Inn
590,Sawtell,AU,78.82,Clouds,-30.3833,153.1,Boambee Bay Resort
591,Zhuhai,CN,83.98,Clouds,22.2769,113.5678,No hotel found
592,Caravelas,BR,72.37,Clouds,-17.7125,-39.2481,Pousada dos Navegantes
595,Jacareacanga,BR,71.65,Clouds,-6.2222,-57.7528,Hotel São Cristovão
606,Presidencia Roque Saenz Pena,AR,74.97,Clear,-26.7852,-60.4388,Hotel Presidente
614,Raha,IN,71.64,Clear,26.2333,92.5167,No hotel found
615,Mount Isa,AU,83.97,Clouds,-20.7333,139.5,Ibis Styles
616,Kottapalli,IN,72.1,Clear,18.4833,79.1,No hotel found
