City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
341,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.66,97,81,0.69,Rain
342,Dhoraji,IN,21.7333,70.45,76.68,27,0,6.6,Clear
343,Burnie,AU,-41.0667,145.9167,59.94,64,95,17.83,Rain
344,Urucara,BR,-2.5364,-57.76,73.96,93,89,1.45,Clouds
345,Saint George,US,37.1041,-113.5841,43.39,50,0,3.44,Clear
346,Evensk,RU,61.95,159.2333,18.95,85,100,23.44,Snow
347,Komsomolskiy,UZ,40.4272,71.7189,38.12,93,100,0.0,Fog
348,Skjervoy,NO,70.0311,20.9714,33.8,69,89,11.97,Clouds
349,Sulina,RO,45.1559,29.6536,43.16,77,100,13.35,Clouds
350,Santa Maria,BR,-29.6842,-53.8069,64.94,86,0,8.39,Clear
351,Chuy,UY,-33.6971,-53.4616,65.53,97,12,8.39,Clouds
352,Porto Novo,BJ,6.4965,2.6036,77.4,87,29,4.61,Rain
353,Alice Springs,AU,-23.7,133.8833,81.95,28,40,12.66,Clouds
354,Saraza,PH,8.7356,117.78,86.52,65,42,9.73,Clouds
355,Tutoia,BR,-2.7619,-42.2744,79.39,80,97,10.76,Clouds
356,Lavrentiya,RU,65.5833,-171.0,11.08,95,82,5.1,Clouds
357,Nanortalik,GL,60.1432,-45.2371,29.64,84,97,9.1,Clouds
358,Iranshahr,IR,27.2025,60.6848,64.74,20,0,0.0,Clear
359,Tezu,IN,27.9167,96.1667,76.3,25,0,3.11,Clear
360,Laredo,US,27.5064,-99.5075,61.09,59,0,9.22,Clear
361,Bhatkal,IN,13.9667,74.5667,82.2,72,55,3.15,Clouds
362,Belluno,IT,46.145,12.2214,35.31,85,91,3.76,Clouds
363,Torbay,CA,47.6666,-52.7314,41.76,97,100,10.36,Fog
364,Malaut,IN,30.2167,74.4833,68.65,20,1,3.91,Clear
365,Thai Binh,VN,20.45,106.3333,85.06,70,16,14.63,Clouds
366,La Romana,DO,18.4273,-68.9728,72.45,89,9,8.84,Clear
367,Tautira,PF,-17.7333,-149.15,78.4,77,42,12.5,Clouds
368,Qinhuangdao,CN,39.9317,119.5883,42.39,73,100,7.02,Rain
369,Puerto Suarez,BO,-18.95,-57.8,76.26,41,0,3.42,Clear
370,Amapa,BR,1.0,-52.0,71.69,98,97,1.63,Clouds
371,Sorland,NO,67.667,12.6934,44.85,71,100,16.53,Clouds
372,Tahe,CN,52.3333,124.7333,4.1,78,94,4.07,Clouds
373,Bilibino,RU,68.0546,166.4372,-0.89,93,100,2.71,Clouds
374,Emba,KZ,48.8264,58.1442,20.19,47,100,17.2,Clouds
375,Upington,ZA,-28.4478,21.2561,70.9,33,0,6.8,Clear
376,Bukama,CD,-9.2,25.85,66.16,97,97,2.86,Clouds
377,Lazaro Cardenas,MX,17.9583,-102.2,75.67,82,24,3.83,Clouds
378,Alihe,CN,50.5667,123.7167,7.61,83,100,1.88,Clouds
379,Srandakan,ID,-7.9386,110.2506,77.79,87,100,5.46,Rain
380,Narsaq,GL,60.9167,-46.05,26.82,77,100,8.23,Clouds
381,Heilbron,ZA,-27.2812,27.9709,57.47,85,99,15.59,Clouds
382,Ketchikan,US,55.3422,-131.6461,30.67,93,0,3.44,Clear
383,Dubna,RU,56.7333,37.1667,18.14,94,100,7.02,Clouds
384,Villa Carlos Paz,AR,-31.4241,-64.4978,79.39,30,5,3.0,Clear
385,Aksu,CN,41.1231,80.2644,25.07,24,0,9.08,Clear
386,Kingsport,US,36.5484,-82.5618,54.79,68,100,12.66,Clouds
387,Ocos,GT,14.5094,-92.1933,78.98,79,100,3.8,Rain
388,Lodwar,KE,3.1191,35.5973,79.25,60,64,11.92,Clouds
389,Benalla,AU,-36.55,145.9833,63.86,49,32,12.5,Clouds
390,Sibolga,ID,1.7427,98.7792,85.23,64,89,3.8,Clouds
391,Xunchang,CN,28.4543,104.715,63.5,78,100,1.14,Clouds
392,Bereda,ES,43.2686,-7.5406,46.42,100,92,3.58,Clouds
393,Aykhal,RU,66.0,111.5,-10.41,99,100,5.19,Clouds
394,Nara,JP,34.6851,135.8049,66.9,50,71,2.64,Clouds
395,Muros,ES,42.7762,-9.0603,47.68,71,18,13.6,Clouds
396,Kushiro,JP,42.975,144.3747,45.7,58,74,16.53,Clouds
397,Shahreza,IR,32.0339,51.8794,46.74,56,2,1.48,Clear
398,Leon Valley,US,29.4952,-98.6186,59.14,70,0,6.91,Clear
399,Nipawin,CA,53.3668,-104.0009,23.04,100,100,16.11,Clouds
400,Wasilla,US,61.5814,-149.4394,10.06,86,0,1.01,Mist
401,Kaitangata,NZ,-46.2817,169.8464,59.11,63,20,11.54,Clouds
402,Luau,AO,-10.7073,22.2247,62.11,98,100,0.87,Clouds
403,Luwuk,ID,-0.9516,122.7875,85.77,69,100,2.33,Clouds
404,Gulu,UG,2.7746,32.299,65.05,91,66,0.98,Rain
405,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,90,100,18.48,Clouds
406,Hami,CN,42.8,93.45,13.06,26,0,7.0,Clear
407,Tawang,IN,27.5833,91.8667,52.66,28,0,5.23,Clear
408,Bermeo,ES,43.4209,-2.7215,53.24,76,100,22.73,Clouds
409,Nouadhibou,MR,20.931,-17.0347,69.62,57,0,13.98,Clear
410,Consuegra,ES,39.4625,-3.608,44.65,86,70,9.86,Clouds
411,Henties Bay,NA,-22.116,14.2845,56.64,84,17,5.55,Clouds
412,Ekhabi,RU,53.5102,142.9671,19.08,88,100,18.77,Snow
413,Rio Claro,BR,-22.4114,-47.5614,65.48,85,58,7.85,Clouds
414,Maragogi,BR,-9.0122,-35.2225,76.26,82,25,8.12,Clouds
415,Cardston,CA,49.2,-113.3019,20.86,81,100,10.6,Snow
416,The Valley,AI,18.217,-63.0578,79.83,71,22,18.32,Clouds
417,Sanandaj,IR,35.3144,46.9923,32.02,93,0,0.0,Clear
418,Hovd,MN,48.0056,91.6419,-5.19,72,53,0.49,Clouds
419,San Pedro,PH,14.35,121.0167,89.35,65,20,6.91,Clouds
420,San Cristobal,VE,7.7669,-72.225,68.18,99,100,1.81,Rain
421,Srednekolymsk,RU,67.45,153.6833,-25.89,93,100,4.47,Clouds
422,Lagunas,PE,-5.2269,-75.6753,71.83,98,89,1.81,Clouds
